,Nycticebus_coucang,Otolemur_garnettii,Daubentonia_madagascariensis,Propithecus_coquereli,Indri_indri,Cheirogaleus_medius,Microcebus_murinus,Mirza_coquereli,Lemur_catta,Eulemur_fulvus,Eulemur_flavifrons,Pithecia_pithecia,Callicebus_donacophilus,Saguinus_imperator,Callithrix_jacchus,Aotus_nancymaae,Saimiri_boliviensis,Cebus_albifrons,Cebus_capucinus,Alouatta_palliata,Ateles_geoffroyi,Mandrillus_leucophaeus,Cercocebus_atys,Papio_anubis,Macaca_mulatta,Macaca_fascicularis,Macaca_nemestrina,Erythrocebus_patas,Chlorocebus_sabaeus,Cercopithecus_neglectus,Rhinopithecus_roxellana,Rhinopithecus_bieti,Pygathrix_nemaeus,Nasalis_larvatus,Semnopithecus_entellus,Piliocolobus_tephrosceles,Colobus_angolensis,Nomascus_leucogenys,Gorilla_gorilla,Pan_troglodytes,Pan_paniscus,Homo_sapiens,Pongo_abelii,Carlito_syrichta,Galeopterus_variegatus,Tupaia_tana,Tupaia_chinensis,Oryctolagus_cuniculus,Lepus_americanus,Ochotona_princeps,Ctenodactylus_gundi,Petromus_typicus,Thryonomys_swinderianus,Heterocephalus_glaber,Fukomys_damarensis,Dolichotis_patagonum,Hydrochoerus_hydrochaeris,Cavia_tschudii,Cavia_porcellus,Cavia_aperea,Dasyprocta_punctata,Cuniculus_paca,Octodon_degus,Ctenomys_sociabilis,Myocastor_coypus,Capromys_pilorides,Chinchilla_lanigera,Dinomys_branickii,Hystrix_cristata,Rattus_norvegicus,Mus_musculus,Mus_spretus,Mus_caroli,Mus_pahari,Acomys_cahirinus,Meriones_unguiculatus,Psammomys_obesus,Mesocricetus_auratus,Cricetulus_griseus,Microtus_ochrogaster,Ondatra_zibethicus,Ellobius_talpinus,Ellobius_lutescens,Sigmodon_hispidus,Peromyscus_maniculatus,Onychomys_torridus,Cricetomys_gambianus,Nannospalax_galili,Jaculus_jaculus,Allactaga_bullata,Zapus_hudsonius,Perognathus_longimembris,Dipodomys_stephensi,Dipodomys_ordii,Castor_canadensis,Xerus_inauris,Spermophilus_dauricus,Ictidomys_tridecemlineatus,Marmota_marmota,Aplodontia_rufa,Muscardinus_avellanarius,Glis_glis,Graphiurus_murinus,Solenodon_paradoxus,Erinaceus_europaeus,Crocidura_indochinensis,Sorex_araneus,Uropsilus_gracilis,Condylura_cristata,Scalopus_aquaticus,Megaderma_lyra,Craseonycteris_thonglongyai,Hipposideros_armiger,Hipposideros_galeritus,Rhinolophus_sinicus,Macroglossus_sobrinus,Eidolon_helvum,Pteropus_vampyrus,Pteropus_alecto,Rousettus_aegyptiacus,Noctilio_leporinus,Pteronotus_parnellii,Mormoops_blainvillei,Carollia_perspicillata,Artibeus_jamaicensis,Anoura_caudifer,Tonatia_saurophila,Micronycteris_hirsuta,Desmodus_rotundus,Pipistrellus_pipistrellus,Eptesicus_fuscus,Lasiurus_borealis,Murina_feae,Myotis_myotis,Myotis_brandtii,Myotis_lucifugus,Myotis_davidii,Miniopterus_natalensis,Miniopterus_schreibersii,Tadarida_brasiliensis,Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Hippopotamus_amphibius,Eubalaena_japonica,Balaenoptera_bonaerensis,Balaenoptera_acutorostrata,Eschrichtius_robustus,Kogia_breviceps,Platanista_gangetica,Mesoplodon_bidens,Ziphius_cavirostris,Inia_geoffrensis,Lipotes_vexillifer,Neophocaena_asiaeorientalis,Phocoena_phocoena,Delphinapterus_leucas,Monodon_monoceros,Tursiops_truncatus,Orcinus_orca,Tragulus_javanicus,Moschus_moschiferus,Bubalus_bubalis,Bos_taurus,Bos_indicus,Bos_mutus,Bison_bison,Beatragus_hunteri,Ammotragus_lervia,Hemitragus_hylocrius,Capra_hircus,Capra_aegagrus,Ovis_aries,Ovis_canadensis,Pantholops_hodgsonii,Saiga_tatarica,Okapia_johnstoni,Giraffa_tippelskirchi,Antilocapra_americana,Odocoileus_virginianus,Rangifer_tarandus,Elaphurus_davidianus,Catagonus_wagneri,Sus_scrofa,Cryptoprocta_ferox,Mungos_mungo,Suricata_suricatta,Helogale_parvula,Hyaena_hyaena,Paradoxurus_hermaphroditus,Panthera_tigris,Panthera_pardus,Panthera_onca,Felis_catus,Felis_nigripes,Puma_concolor,Acinonyx_jubatus,Lycaon_pictus,Canis_lupus,Canis_lupus_familiaris,Vulpes_lagopus,Pteronura_brasiliensis,Enhydra_lutris,Mustela_putorius,Mellivora_capensis,Ailurus_fulgens,Spilogale_gracilis,Zalophus_californianus,Odobenus_rosmarus,Leptonychotes_weddellii,Mirounga_angustirostris,Neomonachus_schauinslandi,Ailuropoda_melanoleuca,Ursus_maritimus,Manis_javanica,Manis_pentadactyla,Equus_caballus,Equus_przewalskii,Equus_asinus,Tapirus_indicus,Tapirus_terrestris,Dicerorhinus_sumatrensis,Diceros_bicornis,Ceratotherium_simum,Ceratotherium_simum_cottoni,Dasypus_novemcinctus,Tolypeutes_matacus,Chaetophractus_vellerosus,Tamandua_tetradactyla,Myrmecophaga_tridactyla,Choloepus_didactylus,Choloepus_hoffmanni,Trichechus_manatus,Procavia_capensis,Heterohyrax_brucei,Loxodonta_africana,Microgale_talazaci,Echinops_telfairi,Chrysochloris_asiatica,Elephantulus_edwardii,Orycteropus_afer
Spermophilus_dauricus,0.61420,0.60139,0.63639,0.65707,0.65787,0.62778,0.66740,0.66659,0.61778,0.65599,0.65528,0.60534,0.60631,0.62067,0.61068,0.62476,0.61485,0.62493,0.62487,0.61693,0.61394,0.58377,0.58407,0.58475,0.59329,0.59260,0.58131,0.58498,0.58516,0.58657,0.59742,0.59765,0.59772,0.58849,0.58772,0.58873,0.58774,0.57383,0.57568,0.57308,0.57305,0.57265,0.57930,0.55446,0.50688,0.55125,0.54015,0.51983,0.53418,0.55956,0.39525,0.63434,0.63238,0.60831,0.63024,0.65660,0.65625,0.64268,0.64236,0.64910,0.65205,0.63326,0.65767,0.67983,0.67696,0.67987,0.63121,0.65408,0.58136,0.70102,0.70141,0.70713,0.70258,0.70002,0.70637,0.71378,0.67356,0.59753,0.55996,0.56352,0.57467,0.57357,0.57309,0.57835,0.55843,0.55878,0.54961,0.58816,0.48246,0.50139,0.49586,0.40731,0.39895,0.39780,0.38419,0.29745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ictidomys_tridecemlineatus,0.46559,0.45278,0.48778,0.50846,0.50926,0.47917,0.51879,0.51798,0.46917,0.50738,0.50667,0.45673,0.45770,0.47206,0.46207,0.47615,0.46624,0.47632,0.47626,0.46832,0.46533,0.43516,0.43546,0.43614,0.44468,0.44399,0.43270,0.43637,0.43655,0.43796,0.44881,0.44904,0.44911,0.43988,0.43911,0.44012,0.43913,0.42522,0.42707,0.42447,0.42444,0.42404,0.43069,0.40585,0.35827,0.40264,0.39154,0.37122,0.38557,0.41095,0.24664,0.48573,0.48377,0.45970,0.48163,0.50799,0.50764,0.49407,0.49375,0.50049,0.50344,0.48465,0.50906,0.53122,0.52835,0.53126,0.48260,0.50547,0.43275,0.55241,0.55280,0.55852,0.55397,0.55141,0.55776,0.56517,0.52495,0.44892,0.41135,0.41491,0.42606,0.42496,0.42448,0.42974,0.40982,0.41017,0.40100,0.43955,0.33385,0.35278,0.34725,0.25870,0.25034,0.24919,0.23558,0.14884,0.18861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmota_marmota,0.48276,0.46995,0.50495,0.52563,0.52643,0.49634,0.53596,0.53515,0.48634,0.52455,0.52384,0.47390,0.47487,0.48923,0.47924,0.49332,0.48341,0.49349,0.49343,0.48549,0.48250,0.45233,0.45263,0.45331,0.46185,0.46116,0.44987,0.45354,0.45372,0.45513,0.46598,0.46621,0.46628,0.45705,0.45628,0.45729,0.45630,0.44239,0.44424,0.44164,0.44161,0.44121,0.44786,0.42302,0.37544,0.41981,0.40871,0.38839,0.40274,0.42812,0.26381,0.50290,0.50094,0.47687,0.49880,0.52516,0.52481,0.51124,0.51092,0.51766,0.52061,0.50182,0.52623,0.54839,0.54552,0.54843,0.49977,0.52264,0.44992,0.56958,0.56997,0.57569,0.57114,0.56858,0.57493,0.58234,0.54212,0.46609,0.42852,0.43208,0.44323,0.44213,0.44165,0.44691,0.42699,0.42734,0.41817,0.45672,0.35102,0.36995,0.36442,0.27587,0.26751,0.26636,0.25275,0.16601,0.20578,0.03717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aplodontia_rufa,0.54974,0.53693,0.57193,0.59261,0.59341,0.56332,0.60294,0.60213,0.55332,0.59153,0.59082,0.54088,0.54185,0.55621,0.54622,0.56030,0.55039,0.56047,0.56041,0.55247,0.54948,0.51931,0.51961,0.52029,0.52883,0.52814,0.51685,0.52052,0.52070,0.52211,0.53296,0.53319,0.53326,0.52403,0.52326,0.52427,0.52328,0.50937,0.51122,0.50862,0.50859,0.50819,0.51484,0.49000,0.44242,0.48679,0.47569,0.45537,0.46972,0.49510,0.33079,0.56988,0.56792,0.54385,0.56578,0.59214,0.59179,0.57822,0.57790,0.58464,0.58759,0.56880,0.59321,0.61537,0.61250,0.61541,0.56675,0.58962,0.51690,0.63656,0.63695,0.64267,0.63812,0.63556,0.64191,0.64932,0.60910,0.53307,0.49550,0.49906,0.51021,0.50911,0.50863,0.51389,0.49397,0.49432,0.48515,0.52370,0.41800,0.43693,0.43140,0.34285,0.33449,0.33334,0.31973,0.25299,0.43400,0.28539,0.30256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscardinus_avellanarius,0.45305,0.44024,0.47524,0.49592,0.49672,0.46663,0.50625,0.50544,0.45663,0.49484,0.49413,0.44419,0.44516,0.45952,0.44953,0.46361,0.45370,0.46378,0.46372,0.45578,0.45279,0.42262,0.42292,0.42360,0.43214,0.43145,0.42016,0.42383,0.42401,0.42542,0.43627,0.43650,0.43657,0.42734,0.42657,0.42758,0.42659,0.41268,0.41453,0.41193,0.41190,0.41150,0.41815,0.39331,0.34573,0.39010,0.37900,0.35868,0.37303,0.39841,0.23410,0.47319,0.47123,0.44716,0.46909,0.49545,0.49510,0.48153,0.48121,0.48795,0.49090,0.47211,0.49652,0.51868,0.51581,0.51872,0.47006,0.49293,0.42021,0.53987,0.54026,0.54598,0.54143,0.53887,0.54522,0.55263,0.51241,0.43638,0.39881,0.40237,0.41352,0.41242,0.41194,0.41720,0.39728,0.39763,0.38846,0.42701,0.32131,0.34024,0.33471,0.24616,0.23780,0.23665,0.22304,0.17630,0.35731,0.20870,0.22587,0.29285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glis_glis,0.43319,0.42038,0.45538,0.47606,0.47686,0.44677,0.48639,0.48558,0.43677,0.47498,0.47427,0.42433,0.42530,0.43966,0.42967,0.44375,0.43384,0.44392,0.44386,0.43592,0.43293,0.40276,0.40306,0.40374,0.41228,0.41159,0.40030,0.40397,0.40415,0.40556,0.41641,0.41664,0.41671,0.40748,0.40671,0.40772,0.40673,0.39282,0.39467,0.39207,0.39204,0.39164,0.39829,0.37345,0.32587,0.37024,0.35914,0.33882,0.35317,0.37855,0.21424,0.45333,0.45137,0.42730,0.44923,0.47559,0.47524,0.46167,0.46135,0.46809,0.47104,0.45225,0.47666,0.49882,0.49595,0.49886,0.45020,0.47307,0.40035,0.52001,0.52040,0.52612,0.52157,0.51901,0.52536,0.53277,0.49255,0.41652,0.37895,0.38251,0.39366,0.39256,0.39208,0.39734,0.37742,0.37777,0.36860,0.40715,0.30145,0.32038,0.31485,0.22630,0.21794,0.21679,0.20318,0.15644,0.33745,0.18884,0.20601,0.27299,0.15630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphiurus_murinus,0.46676,0.45395,0.48895,0.50963,0.51043,0.48034,0.51996,0.51915,0.47034,0.50855,0.50784,0.45790,0.45887,0.47323,0.46324,0.47732,0.46741,0.47749,0.47743,0.46949,0.46650,0.43633,0.43663,0.43731,0.44585,0.44516,0.43387,0.43754,0.43772,0.43913,0.44998,0.45021,0.45028,0.44105,0.44028,0.44129,0.44030,0.42639,0.42824,0.42564,0.42561,0.42521,0.43186,0.40702,0.35944,0.40381,0.39271,0.37239,0.38674,0.41212,0.24781,0.48690,0.48494,0.46087,0.48280,0.50916,0.50881,0.49524,0.49492,0.50166,0.50461,0.48582,0.51023,0.53239,0.52952,0.53243,0.48377,0.50664,0.43392,0.55358,0.55397,0.55969,0.55514,0.55258,0.55893,0.56634,0.52612,0.45009,0.41252,0.41608,0.42723,0.42613,0.42565,0.43091,0.41099,0.41134,0.40217,0.44072,0.33502,0.35395,0.34842,0.25987,0.25151,0.25036,0.23675,0.19001,0.37102,0.22241,0.23958,0.30656,0.18987,0.15001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solenodon_paradoxus,0.45163,0.43882,0.47382,0.49450,0.49530,0.46521,0.50483,0.50402,0.45521,0.49342,0.49271,0.44277,0.44374,0.45810,0.44811,0.46219,0.45228,0.46236,0.46230,0.45436,0.45137,0.42120,0.42150,0.42218,0.43072,0.43003,0.41874,0.42241,0.42259,0.42400,0.43485,0.43508,0.43515,0.42592,0.42515,0.42616,0.42517,0.41126,0.41311,0.41051,0.41048,0.41008,0.41673,0.39189,0.34431,0.38868,0.37758,0.43726,0.45161,0.47699,0.33268,0.57177,0.56981,0.54574,0.56767,0.59403,0.59368,0.58011,0.57979,0.58653,0.58948,0.57069,0.59510,0.61726,0.61439,0.61730,0.56864,0.59151,0.51879,0.65845,0.65884,0.66456,0.66001,0.65745,0.66380,0.67121,0.63099,0.55496,0.51739,0.52095,0.53210,0.53100,0.53052,0.53578,0.51586,0.51621,0.50704,0.54559,0.43989,0.45882,0.45329,0.36474,0.35638,0.35523,0.34162,0.31488,0.49589,0.34728,0.36445,0.43143,0.33474,0.31488,0.34845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erinaceus_europaeus,0.63567,0.62286,0.65786,0.67854,0.67934,0.64925,0.68887,0.68806,0.63925,0.67746,0.67675,0.62681,0.62778,0.64214,0.63215,0.64623,0.63632,0.64640,0.64634,0.63840,0.63541,0.60524,0.60554,0.60622,0.61476,0.61407,0.60278,0.60645,0.60663,0.60804,0.61889,0.61912,0.61919,0.60996,0.60919,0.61020,0.60921,0.59530,0.59715,0.59455,0.59452,0.59412,0.60077,0.57593,0.52835,0.57272,0.56162,0.62130,0.63565,0.66103,0.51672,0.75581,0.75385,0.72978,0.75171,0.77807,0.77772,0.76415,0.76383,0.77057,0.77352,0.75473,0.77914,0.80130,0.79843,0.80134,0.75268,0.77555,0.70283,0.84249,0.84288,0.84860,0.84405,0.84149,0.84784,0.85525,0.81503,0.73900,0.70143,0.70499,0.71614,0.71504,0.71456,0.71982,0.69990,0.70025,0.69108,0.72963,0.62393,0.64286,0.63733,0.54878,0.54042,0.53927,0.52566,0.49892,0.67993,0.53132,0.54849,0.61547,0.51878,0.49892,0.53249,0.39338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocidura_indochinensis,0.56436,0.55155,0.58655,0.60723,0.60803,0.57794,0.61756,0.61675,0.56794,0.60615,0.60544,0.55550,0.55647,0.57083,0.56084,0.57492,0.56501,0.57509,0.57503,0.56709,0.56410,0.53393,0.53423,0.53491,0.54345,0.54276,0.53147,0.53514,0.53532,0.53673,0.54758,0.54781,0.54788,0.53865,0.53788,0.53889,0.53790,0.52399,0.52584,0.52324,0.52321,0.52281,0.52946,0.50462,0.45704,0.50141,0.49031,0.54999,0.56434,0.58972,0.44541,0.68450,0.68254,0.65847,0.68040,0.70676,0.70641,0.69284,0.69252,0.69926,0.70221,0.68342,0.70783,0.72999,0.72712,0.73003,0.68137,0.70424,0.63152,0.77118,0.77157,0.77729,0.77274,0.77018,0.77653,0.78394,0.74372,0.66769,0.63012,0.63368,0.64483,0.64373,0.64325,0.64851,0.62859,0.62894,0.61977,0.65832,0.55262,0.57155,0.56602,0.47747,0.46911,0.46796,0.45435,0.42761,0.60862,0.46001,0.47718,0.54416,0.44747,0.42761,0.46118,0.32207,0.48003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorex_araneus,0.68878,0.67597,0.71097,0.73165,0.73245,0.70236,0.74198,0.74117,0.69236,0.73057,0.72986,0.67992,0.68089,0.69525,0.68526,0.69934,0.68943,0.69951,0.69945,0.69151,0.68852,0.65835,0.65865,0.65933,0.66787,0.66718,0.65589,0.65956,0.65974,0.66115,0.67200,0.67223,0.67230,0.66307,0.66230,0.66331,0.66232,0.64841,0.65026,0.64766,0.64763,0.64723,0.65388,0.62904,0.58146,0.62583,0.61473,0.67441,0.68876,0.71414,0.56983,0.80892,0.80696,0.78289,0.80482,0.83118,0.83083,0.81726,0.81694,0.82368,0.82663,0.80784,0.83225,0.85441,0.85154,0.85445,0.80579,0.82866,0.75594,0.89560,0.89599,0.90171,0.89716,0.89460,0.90095,0.90836,0.86814,0.79211,0.75454,0.75810,0.76925,0.76815,0.76767,0.77293,0.75301,0.75336,0.74419,0.78274,0.67704,0.69597,0.69044,0.60189,0.59353,0.59238,0.57877,0.55203,0.73304,0.58443,0.60160,0.66858,0.57189,0.55203,0.58560,0.44649,0.60445,0.51314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uropsilus_gracilis,0.47267,0.45986,0.49486,0.51554,0.51634,0.48625,0.52587,0.52506,0.47625,0.51446,0.51375,0.46381,0.46478,0.47914,0.46915,0.48323,0.47332,0.48340,0.48334,0.47540,0.47241,0.44224,0.44254,0.44322,0.45176,0.45107,0.43978,0.44345,0.44363,0.44504,0.45589,0.45612,0.45619,0.44696,0.44619,0.44720,0.44621,0.43230,0.43415,0.43155,0.43152,0.43112,0.43777,0.41293,0.36535,0.40972,0.39862,0.45830,0.47265,0.49803,0.35372,0.59281,0.59085,0.56678,0.58871,0.61507,0.61472,0.60115,0.60083,0.60757,0.61052,0.59173,0.61614,0.63830,0.63543,0.63834,0.58968,0.61255,0.53983,0.67949,0.67988,0.68560,0.68105,0.67849,0.68484,0.69225,0.65203,0.57600,0.53843,0.54199,0.55314,0.55204,0.55156,0.55682,0.53690,0.53725,0.52808,0.56663,0.46093,0.47986,0.47433,0.38578,0.37742,0.37627,0.36266,0.33592,0.51693,0.36832,0.38549,0.45247,0.35578,0.33592,0.36949,0.23038,0.39442,0.32311,0.44753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condylura_cristata,0.63187,0.61906,0.65406,0.67474,0.67554,0.64545,0.68507,0.68426,0.63545,0.67366,0.67295,0.62301,0.62398,0.63834,0.62835,0.64243,0.63252,0.64260,0.64254,0.63460,0.63161,0.60144,0.60174,0.60242,0.61096,0.61027,0.59898,0.60265,0.60283,0.60424,0.61509,0.61532,0.61539,0.60616,0.60539,0.60640,0.60541,0.59150,0.59335,0.59075,0.59072,0.59032,0.59697,0.57213,0.52455,0.56892,0.55782,0.61750,0.63185,0.65723,0.51292,0.75201,0.75005,0.72598,0.74791,0.77427,0.77392,0.76035,0.76003,0.76677,0.76972,0.75093,0.77534,0.79750,0.79463,0.79754,0.74888,0.77175,0.69903,0.83869,0.83908,0.84480,0.84025,0.83769,0.84404,0.85145,0.81123,0.73520,0.69763,0.70119,0.71234,0.71124,0.71076,0.71602,0.69610,0.69645,0.68728,0.72583,0.62013,0.63906,0.63353,0.54498,0.53662,0.53547,0.52186,0.49512,0.67613,0.52752,0.54469,0.61167,0.51498,0.49512,0.52869,0.38958,0.55362,0.48231,0.60673,0.37062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalopus_aquaticus,0.65457,0.64176,0.67676,0.69744,0.69824,0.66815,0.70777,0.70696,0.65815,0.69636,0.69565,0.64571,0.64668,0.66104,0.65105,0.66513,0.65522,0.66530,0.66524,0.65730,0.65431,0.62414,0.62444,0.62512,0.63366,0.63297,0.62168,0.62535,0.62553,0.62694,0.63779,0.63802,0.63809,0.62886,0.62809,0.62910,0.62811,0.61420,0.61605,0.61345,0.61342,0.61302,0.61967,0.59483,0.54725,0.59162,0.58052,0.64020,0.65455,0.67993,0.53562,0.77471,0.77275,0.74868,0.77061,0.79697,0.79662,0.78305,0.78273,0.78947,0.79242,0.77363,0.79804,0.82020,0.81733,0.82024,0.77158,0.79445,0.72173,0.86139,0.86178,0.86750,0.86295,0.86039,0.86674,0.87415,0.83393,0.75790,0.72033,0.72389,0.73504,0.73394,0.73346,0.73872,0.71880,0.71915,0.70998,0.74853,0.64283,0.66176,0.65623,0.56768,0.55932,0.55817,0.54456,0.51782,0.69883,0.55022,0.56739,0.63437,0.53768,0.51782,0.55139,0.41228,0.57632,0.50501,0.62943,0.39332,0.04270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megaderma_lyra,0.65932,0.64651,0.68151,0.70219,0.70299,0.67290,0.71252,0.71171,0.66290,0.70111,0.70040,0.65046,0.65143,0.66579,0.65580,0.66988,0.65997,0.67005,0.66999,0.66205,0.65906,0.62889,0.62919,0.62987,0.63841,0.63772,0.62643,0.63010,0.63028,0.63169,0.64254,0.64277,0.64284,0.63361,0.63284,0.63385,0.63286,0.61895,0.62080,0.61820,0.61817,0.61777,0.62442,0.59958,0.55200,0.59637,0.58527,0.64495,0.65930,0.68468,0.54037,0.77946,0.77750,0.75343,0.77536,0.80172,0.80137,0.78780,0.78748,0.79422,0.79717,0.77838,0.80279,0.82495,0.82208,0.82499,0.77633,0.79920,0.72648,0.86614,0.86653,0.87225,0.86770,0.86514,0.87149,0.87890,0.83868,0.76265,0.72508,0.72864,0.73979,0.73869,0.73821,0.74347,0.72355,0.72390,0.71473,0.75328,0.64758,0.66651,0.66098,0.57243,0.56407,0.56292,0.54931,0.52257,0.70358,0.55497,0.57214,0.63912,0.54243,0.52257,0.55614,0.41741,0.60145,0.53014,0.65456,0.43845,0.59765,0.62035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craseonycteris_thonglongyai,0.55340,0.54059,0.57559,0.59627,0.59707,0.56698,0.60660,0.60579,0.55698,0.59519,0.59448,0.54454,0.54551,0.55987,0.54988,0.56396,0.55405,0.56413,0.56407,0.55613,0.55314,0.52297,0.52327,0.52395,0.53249,0.53180,0.52051,0.52418,0.52436,0.52577,0.53662,0.53685,0.53692,0.52769,0.52692,0.52793,0.52694,0.51303,0.51488,0.51228,0.51225,0.51185,0.51850,0.49366,0.44608,0.49045,0.47935,0.53903,0.55338,0.57876,0.43445,0.67354,0.67158,0.64751,0.66944,0.69580,0.69545,0.68188,0.68156,0.68830,0.69125,0.67246,0.69687,0.71903,0.71616,0.71907,0.67041,0.69328,0.62056,0.76022,0.76061,0.76633,0.76178,0.75922,0.76557,0.77298,0.73276,0.65673,0.61916,0.62272,0.63387,0.63277,0.63229,0.63755,0.61763,0.61798,0.60881,0.64736,0.54166,0.56059,0.55506,0.46651,0.45815,0.45700,0.44339,0.41665,0.59766,0.44905,0.46622,0.53320,0.43651,0.41665,0.45022,0.31149,0.49553,0.42422,0.54864,0.33253,0.49173,0.51443,0.22048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
